query_event_id,statement_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_cosine,evidence_cosine,embedding_cosine,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0015,api,1,FOMC_0013,1.5,31,0.7071067811865475,0.13881199248888398,0.9843521309900676,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0015,api,2,FOMC_0019,1.5,31,0.34299717028501764,0.13716433504004166,0.9678778416783,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
FOMC_0015,api,3,FOMC_0011,1.5,31,0.588348405414552,0.1498780487561893,0.9665844710232806,2025-07-30,-0.0013,-0.0172734972895408,0.0013,0.0098
FOMC_0018,api,1,FOMC_0031,1.5,31,0.4036036763977875,0.1461413291647431,0.959923703593246,2024-05-01,-0.0032,0.0091,-0.0072,-0.001
FOMC_0018,api,2,FOMC_0013,1.5,31,0.5547001962252291,0.29072781313331575,0.9425354286444563,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0018,api,3,FOMC_0015,1.5,31,0.39223227027636803,0.1603526007022633,0.9307405284595526,2025-05-07,0.0042,-0.0149930608013485,0.0039,0.0073
FOMC_0019,api,1,FOMC_0013,1.5,31,0.0,0.28151868320858164,0.9731894290234029,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0019,api,2,FOMC_0036,1.5,31,0.46537892099551725,0.14383222049282693,0.9719508666215122,2024-01-31,-0.0163,-0.0007,-0.0196,0.0025
FOMC_0019,api,3,FOMC_0024,1.5,31,0.5294117647058824,0.3519967136714693,0.9695175001316978,2024-11-07,0.0077,0.0160765038555301,0.0157,-0.0081
FOMC_0021,api,1,FOMC_0026,1.5,25,0.7453559924999299,0.5230578697510953,0.9787373032727228,2024-09-18,-0.003,-0.0077104654052888,-0.0043,0.0011
FOMC_0021,api,2,FOMC_0019,1.5,25,-0.7276068751089989,0.32111478953090106,0.966688532577429,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
FOMC_0021,api,3,FOMC_0007,1.5,25,0.0,0.32118443302476823,0.9596060344304214,2025-10-29,0.0005,-0.0037872684129753,0.0045,0.0057
FOMC_0024,api,1,FOMC_0019,1.5,32,0.5294117647058824,0.3519967136714693,0.9695175001316978,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
FOMC_0024,api,2,FOMC_0027,1.5,32,0.1176470588235294,0.17920828483846712,0.9568102098880056,2024-07-31,0.0163,0.0181,0.0296,-0.0055
FOMC_0024,api,3,FOMC_0036,1.5,32,0.46537892099551725,0.2092799198522796,0.9557709077463575,2024-01-31,-0.0163,-0.0007,-0.0196,0.0025
FOMC_0026,api,1,FOMC_0021,1.5,42,0.7453559924999299,0.5230578697510953,0.9787373032727228,2024-12-18,-0.0298,-0.0191850778377131,-0.0361,0.0116
