segment,segment_start,segment_end,asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,SPY_ret,shock_rag,63,0.6031746031746031,0.5512820512820513,0.012032421034680035,0.015601712663639319,0.9206349206349206,0.06884122883979002,0.06824576187495272,0.03442061441989501,5.721311500102493
2008_2015,2008-01-01,2015-12-31,SPY_ret,case_model,63,0.5238095238095238,0.47916666666666663,0.010918580769742763,0.015211623115771589,0.9682539682539683,0.07364699157362051,0.07929326225531894,0.036823495786810254,6.745106633062495
2008_2015,2008-01-01,2015-12-31,SPY_ret,fusion,63,0.5396825396825397,0.4759615384615385,0.012867284213294033,0.018070486244209486,0.9047619047619048,0.08258318636064448,0.08223148803370275,0.04129159318032224,6.418074318691304
2008_2015,2008-01-01,2015-12-31,SPY_ret,fusion_case,63,0.5238095238095238,0.4551282051282051,0.012466254301298895,0.017181614450241522,0.9365079365079365,0.0802776955640078,0.08197428873394155,0.0401388477820039,6.439600350174425
2008_2015,2008-01-01,2015-12-31,UUP_ret,baseline,22,0.45454545454545453,0.45454545454545453,0.006453083726507754,0.00814662662620713,0.9090909090909091,0.02520186989809683,0.022795753679176176,0.012600934949048416,3.9053994905681235
2008_2015,2008-01-01,2015-12-31,UUP_ret,shock_main,22,0.5,0.5,0.006704165445296529,0.008256238172959252,0.9545454545454546,0.02491181593941129,0.022795753679176176,0.012455907969705644,3.7158712956418434
2008_2015,2008-01-01,2015-12-31,UUP_ret,shock_interactions,22,0.4090909090909091,0.40909090909090906,0.006786918565361966,0.008390210529914925,0.9545454545454546,0.02491181593941129,0.022795753679176176,0.012455907969705644,3.6705635553890974
2008_2015,2008-01-01,2015-12-31,UUP_ret,rag_memory,22,0.36363636363636365,0.36363636363636365,0.0066892797602152035,0.00834237842225947,0.9090909090909091,0.025009955128960613,0.022795753679176176,0.012504977564480307,3.738811355702069
2008_2015,2008-01-01,2015-12-31,UUP_ret,shock_rag,22,0.4090909090909091,0.40909090909090906,0.006735421116653485,0.008320420671369476,0.9090909090909091,0.025002653820646346,0.022795753679176176,0.012501326910323173,3.7121144153595242
2008_2015,2008-01-01,2015-12-31,UUP_ret,case_model,22,0.45454545454545453,0.45454545454545453,0.0065647147317482194,0.008020887073965945,0.8636363636363636,0.02398357039331161,0.022795753679176176,0.011991785196655806,3.653406335742582
2008_2015,2008-01-01,2015-12-31,UUP_ret,fusion,22,0.4090909090909091,0.40909090909090906,0.006590060413851153,0.008173086142778632,0.9090909090909091,0.025002653820646346,0.022795753679176176,0.012501326910323173,3.793994629866389
2008_2015,2008-01-01,2015-12-31,UUP_ret,fusion_case,22,0.5,0.5,0.006520823146671884,0.007774063439854813,0.9090909090909091,0.02470315598370858,0.022795753679176176,0.01235157799185429,3.7883493276944105
2016_2019,2016-01-01,2019-12-31,GLD_ret,baseline,33,0.5151515151515151,0.4943609022556391,0.009024972982206197,0.012014221608358456,0.9696969696969697,0.059749772106841334,0.05466572082182829,0.029874886053420667,6.6204931831535765
2016_2019,2016-01-01,2019-12-31,GLD_ret,shock_main,33,0.45454545454545453,0.4323308270676692,0.010093020602343893,0.013005462012845803,0.9696969696969697,0.060267059104737244,0.055573764977905504,0.030133529552368622,5.971161803706363
2016_2019,2016-01-01,2019-12-31,GLD_ret,shock_interactions,33,0.5454545454545454,0.5394736842105263,0.009315083335714437,0.01176898427729837,1.0,0.062466720557263294,0.06074123064024489,0.031233360278631647,6.705975492217354
2016_2019,2016-01-01,2019-12-31,GLD_ret,rag_memory,33,0.5757575757575758,0.5469924812030075,0.008456644633564813,0.011526613441956728,0.9696969696969697,0.06893522809675892,0.06743364192195948,0.03446761404837946,8.15160516774606
2016_2019,2016-01-01,2019-12-31,GLD_ret,shock_rag,33,0.5151515151515151,0.4943609022556391,0.009168090911759037,0.01200328644376934,0.9696969696969697,0.0667191239648213,0.06653415554867236,0.03335956198241065,7.277319194037118
2016_2019,2016-01-01,2019-12-31,GLD_ret,case_model,33,0.48484848484848486,0.4398496240601504,0.008992741826223201,0.011341643009822551,1.0,0.062301377717161995,0.062377672497838266,0.031150688858580997,6.927962452506825
2016_2019,2016-01-01,2019-12-31,GLD_ret,fusion,33,0.5454545454545454,0.5394736842105263,0.009041888959351471,0.011467884041896777,0.9696969696969697,0.06143298769606464,0.060612734001624154,0.03071649384803232,6.794264779432871
2016_2019,2016-01-01,2019-12-31,GLD_ret,fusion_case,33,0.5151515151515151,0.4849624060150376,0.008917081764879117,0.011292496053732204,0.9696969696969697,0.05558846510179045,0.05394688346599752,0.027794232550895224,6.233930176656177
